,netcharge,netural,gravy,molecularweight,neg,pos,hphobic,instability,pI,aromaticity
60,-1.066866013,0.295454545,-0.460227273,29251.0105,0.151515152,0.166666667,0.386363636,27.61136364,6.542663574,0.053030303
61,-10.83267143,0.321148825,-0.356527415,86512.6206,0.101827676,0.125326371,0.451697128,42.13787206,6.170959473,0.113577023
62,-2.816276333,0.319266055,-0.084770642,59349.4059,0.108256881,0.117431193,0.455045872,41.47522936,6.303283691,0.055045872
63,-11.84113712,0.287922705,-0.037487923,117258.2915,0.11884058,0.124637681,0.468599034,35.13762319,5.920227051,0.113043478
64,-18.81569053,0.297222222,-0.451111111,41055.9216,0.166666667,0.133333333,0.402777778,37.23808333,4.883483887,0.055555556
65,5.288131375,0.292069632,-0.201934236,57744.4866,0.114119923,0.141199226,0.452611219,26.60951644,8.645690918,0.100580271
66,-12.0674929,0.307125307,-0.898034398,45333.0085,0.171990172,0.152334152,0.368550369,51.27594595,5.179138184,0.051597052
67,-7.419610444,0.278538813,-1.17716895,25162.6695,0.223744292,0.191780822,0.305936073,67.42100457,5.117248535,0.04109589
68,-40.74558522,0.319039451,-0.231818182,129134.8886,0.137221269,0.118353345,0.425385935,34.58783877,5.039367676,0.077186964
69,17.84047407,0.443349754,-0.906239737,66620.6014,0.060755337,0.113300493,0.382594417,66.45615764,9.850769043,0.026272578
70,-32.96607698,0.239361702,-0.92393617,21060.3954,0.276595745,0.127659574,0.356382979,41.51968085,4.245910645,0.037234043
71,2.204726527,0.441281139,-1.280071174,31825.9553,0.106761566,0.142348754,0.309608541,56.81209964,8.353210449,0.113879004
72,-10.13100453,0.280442804,-0.523800738,61565.0599,0.140221402,0.147601476,0.431734317,49.92345018,5.828308105,0.081180812
73,-6.775308662,0.351473923,-1.170294785,50414.7619,0.160997732,0.160997732,0.326530612,67.82471655,5.762634277,0.052154195
74,-0.708507013,0.299516908,-0.42705314,72029.4553,0.133655395,0.146537842,0.420289855,39.01470209,6.788513184,0.096618357
75,-9.712207232,0.307888041,-0.159541985,45215.071,0.117048346,0.106870229,0.468193384,34.5394402,5.191223145,0.109414758
76,-12.98684004,0.28115016,-0.695207668,35247.8358,0.169329073,0.143769968,0.405750799,44.10319489,5.026794434,0.067092652
